year,precinct,candidate,votes_total,votes_election_day,votes_early,votes_vbm,votes_provisional,ballots_cast,seats_up
2021,Hammonton Town 02,Sean Grasso,129,129,,,,485,3
2021,Hammonton Town 02,Kelly Donio,170,170,,,,485,3
2021,Hammonton Town 02,Luke Coia,187,187,,,,485,3
2021,Hammonton Town 02,Mickey Pullia,133,133,,,,485,3
2021,Hammonton Town 02,Personal Choice,0,,,,,485,3
2021,Hammonton Town 03,Erica Polito,205,205,,,,561,3
2021,Hammonton Town 03,Thomas Attanasi,184,184,,,,561,3
2021,Hammonton Town 03,Sean Grasso,137,137,,,,561,3
2021,Hammonton Town 03,Kelly Donio,221,221,,,,561,3
2021,Hammonton Town 03,Luke Coia,221,221,,,,561,3
2021,Hammonton Town 03,Mickey Pullia,179,179,,,,561,3
2021,Hammonton Town 03,Personal Choice,3,3,,,,561,3
2021,Hammonton Town 04,Erica Polito,162,162,,,,415,3
2021,Hammonton Town 04,Thomas Attanasi,146,146,,,,415,3
2021,Hammonton Town 04,Sean Grasso,113,113,,,,415,3
2021,Hammonton Town 04,Kelly Donio,159,159,,,,415,3
2021,Hammonton Town 04,Luke Coia,165,165,,,,415,3
2021,Hammonton Town 04,Mickey Pullia,84,84,,,,415,3
2021,Hammonton Town 04,Personal Choice,2,2,,,,415,3
2021,Hammonton Town 05,Erica Polito,198,198,,,,578,3
2021,Hammonton Town 05,Thomas Attanasi,244,244,,,,578,3
2021,Hammonton Town 05,Sean Grasso,179,179,,,,578,3
2021,Hammonton Town 05,Kelly Donio,227,227,,,,578,3
2021,Hammonton Town 05,Luke Coia,212,212,,,,578,3
2021,Hammonton Town 05,Mickey Pullia,193,193,,,,578,3
2021,Hammonton Town 05,Personal Choice,0,,,,,578,3
2021,Hammonton Town 06,Erica Polito,116,116,,,,396,3
2021,Hammonton Town 06,Thomas Attanasi,150,150,,,,396,3
2021,Hammonton Town 06,Sean Grasso,99,99,,,,396,3
2021,Hammonton Town 06,Kelly Donio,153,153,,,,396,3
2021,Hammonton Town 06,Luke Coia,151,151,,,,396,3
2021,Hammonton Town 06,Mickey Pullia,137,137,,,,396,3
2021,Hammonton Town 06,Personal Choice,4,4,,,,396,3
2021,Hammonton Town 07,Erica Polito,178,178,,,,553,3
2021,Hammonton Town 07,Thomas Attanasi,207,207,,,,553,3
2021,Hammonton Town 07,Sean Grasso,138,138,,,,553,3
2021,Hammonton Town 07,Kelly Donio,228,228,,,,553,3
2021,Hammonton Town 07,Luke Coia,175,175,,,,553,3
2021,Hammonton Town 07,Mickey Pullia,186,186,,,,553,3
2021,Hammonton Town 07,Personal Choice,2,2,,,,553,3
2023,Hammonton Town 01,Mickey Pullia,336,,,,,672,3
2023,Hammonton Town 01,Kelli Fallon,381,,,,,672,3
2023,Hammonton Town 01,Raymond Scipione,377,,,,,672,3
2023,Hammonton Town 01,Bob Lolio,268,,,,,672,3
2023,Hammonton Town 01,Shawn K. McCloud,288,,,,,672,3
2023,Hammonton Town 01,WRITE-IN,10,,,,,672,3
2023,Hammonton Town 02,Mickey Pullia,234,,,,,445,3
2023,Hammonton Town 02,Kelli Fallon,220,,,,,445,3
2023,Hammonton Town 02,Raymond Scipione,266,,,,,445,3
2023,Hammonton Town 02,Bob Lolio,168,,,,,445,3
2023,Hammonton Town 02,Shawn K. McCloud,190,,,,,445,3
2023,Hammonton Town 02,WRITE-IN,5,,,,,445,3
2023,Hammonton Town 03,Mickey Pullia,314,,,,,595,3
2023,Hammonton Town 03,Kelli Fallon,350,,,,,595,3
2023,Hammonton Town 03,Raymond Scipione,305,,,,,595,3
2023,Hammonton Town 03,Bob Lolio,213,,,,,595,3
2023,Hammonton Town 03,Shawn K. McCloud,238,,,,,595,3
2023,Hammonton Town 03,WRITE-IN,10,,,,,595,3
2023,Hammonton Town 04,Mickey Pullia,172,,,,,375,3
2023,Hammonton Town 04,Kelli Fallon,232,,,,,375,3
2023,Hammonton Town 04,Raymond Scipione,172,,,,,375,3
2023,Hammonton Town 04,Bob Lolio,158,,,,,375,3
2023,Hammonton Town 04,Shawn K. McCloud,125,,,,,375,3
2023,Hammonton Town 04,WRITE-IN,1,,,,,375,3
2023,Hammonton Town 05,Mickey Pullia,257,,,,,610,3
2023,Hammonton Town 05,Kelli Fallon,381,,,,,610,3
2023,Hammonton Town 05,Raymond Scipione,283,,,,,610,3
2023,Hammonton Town 05,Bob Lolio,226,,,,,610,3
2023,Hammonton Town 05,Shawn K. McCloud,290,,,,,610,3
2023,Hammonton Town 05,WRITE-IN,7,,,,,610,3
2023,Hammonton Town 06,Mickey Pullia,200,,,,,421,3
2023,Hammonton Town 06,Kelli Fallon,234,,,,,421,3
2023,Hammonton Town 06,Raymond Scipione,226,,,,,421,3
2023,Hammonton Town 06,Bob Lolio,175,,,,,421,3
2023,Hammonton Town 06,Shawn K. McCloud,193,,,,,421,3
2023,Hammonton Town 06,WRITE-IN,3,,,,,421,3
2023,Hammonton Town 07,Mickey Pullia,261,,,,,576,3
2023,Hammonton Town 07,Kelli Fallon,310,,,,,576,3
2023,Hammonton Town 07,Raymond Scipione,269,,,,,576,3
2023,Hammonton Town 07,Bob Lolio,209,,,,,576,3
2023,Hammonton Town 07,Shawn K. McCloud,268,,,,,576,3
2023,Hammonton Town 07,WRITE-IN,6,,,,,576,3
